Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
evaluation-behavior-specialist,Evaluation - Behavior Evaluation with Specialist,"In-depth behavioral assessment with a Cali K9 specialist. 30 to 45 minutes, in-person or via Zoom. Includes a custom training roadmap and program recommendation.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,Format,In-Person,,,,,27,,FALSE,TRUE,,EVAL-IP,0,kg,,,,,,,,,Cali K9 Behavior Evaluation,"Book a $27 behavior evaluation - root-cause analysis, custom roadmap, and program recommendation."
evaluation-behavior-specialist,,,,,,Zoom,,,,,27,,,,,,0,kg,,,,,,,,,,
online-training-5-pillar-system,Online Training - 5-Pillar System,"Self-paced online dog training with the complete 5-Pillar System, plus 6 months of weekly group Zoom calls with a senior trainer. 100+ problem-solving videos and the full Train With Jas series.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,497,9491,FALSE,TRUE,,OT-5PILLAR,0,kg,,,,,TRUE,Best Value,,,Cali K9 Online Training - 5-Pillar System,"Train at home with the 5-Pillar System plus 6 months of live group coaching for $497 (value $9,491)."
online-training-platinum-package,Online Training - Platinum Package,"Online training with extra live coaching: kickstart call, 4 check-ins with a senior trainer, monthly Q&A calls with Jas Leverette, and a full year of weekly group Zoom calls.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,997,12988,FALSE,TRUE,,OT-PLATINUM,0,kg,,,,,TRUE,Most Coaching,,,Cali K9 Online Training - Platinum Package,"Online program with monthly live calls with Jas Leverette and a full year of group coaching for $997."
in-person-5-sessions,In-Person Training - 5 Sessions,"Five private in-person sessions with a certified Cali K9 trainer. Custom training plan, session recap notes, and email support between sessions. Behavior evaluation required.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,1097,,FALSE,TRUE,,IP-5,0,kg,,,,,,,,,Cali K9 In-Person Dog Training - 5 Sessions,"Five 1-on-1 sessions with a certified Cali K9 trainer for $1,097. Behavior evaluation required."
in-person-elite-10-sessions,In-Person Training - Elite 10 Sessions,"Ten private in-person sessions with mid-program progress review, priority scheduling, and behavior modification work. In-home or facility sessions available.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,1997,,FALSE,TRUE,,IP-10,0,kg,,,,,,,,,Elite In-Person Dog Training - 10 Sessions,"Ten 1-on-1 in-person sessions with progress review and priority scheduling for $1,997."
semi-private-5-sessions,Semi-Private Training - 5 Sessions,"Five semi-private training sessions in a small-group setting (2 to 3 dogs per session). Custom training focus and session notes after each class.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,497,,FALSE,TRUE,,SP-5,0,kg,,,,,,,,,Cali K9 Semi-Private Dog Training - 5 Sessions,"Small-group dog training (2 to 3 dogs per session) - 5 sessions for $497."
semi-private-10-sessions,Semi-Private Training - 10 Sessions,"Ten semi-private training sessions with mid-program progress review, priority scheduling, email support between sessions, and a graduation assessment.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,897,,FALSE,TRUE,,SP-10,0,kg,,,,,TRUE,Best Value,,,Cali K9 Semi-Private Dog Training - 10 Sessions,"Small-group dog training - 10 sessions for $897 with progress review and priority scheduling."
vip-with-jas-5-sessions,VIP Training with Jas - 5 Sessions,"Five 2-hour private home sessions directly with Jas Leverette. Includes 1-year unlimited group classes, monthly Q&A calls with Jas, full online course library, and direct text/call access.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,4997,,TRUE,FALSE,8,VIP-5,0,kg,,,,,TRUE,Limited Spots,,,VIP Training with Jas Leverette,"Five 2-hour private sessions directly with Jas Leverette plus 1 year of group coaching for $4,997."
group-class-monthly-membership,In-Person Group Class - Monthly Membership,"Four in-person group training sessions per month at a Cali K9 facility, with a certified trainer and a structured monthly curriculum. Recurring subscription, cancel anytime.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,197,,FALSE,TRUE,,GC-MONTH,0,kg,,,,,,,,,Cali K9 In-Person Group Class Membership,"Four group training sessions per month with a certified trainer for $197/month. Cancel anytime."
zoom-group-monthly-membership,Zoom Group - Monthly Membership,"Four live weekly Zoom group training sessions per month with a certified Cali K9 trainer. App and community access. Recurring monthly subscription, cancel anytime.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,47,,FALSE,TRUE,,ZG-MONTH,0,kg,,,,,,,,,Cali K9 Zoom Group Membership,"Four live Zoom group sessions per month for $47/month. Existing Cali K9 clients only."
board-and-train-elite-4-week,Board & Train - Elite 4-Week Program,"Full-board residential training: your dog lives with a certified Cali K9 trainer for 28 days. 3 structured sessions per day, daily photo and video updates, mid-program review, graduation handoff session, and 60-day email follow-up. Behavior evaluation required.",TRUE,https://calik9.com/images/cdn/66a311486dce452f20d2ffcd.webp,,,,,,,4997,,TRUE,FALSE,8,BT-ELITE,0,kg,,,,,TRUE,8 Spots/Month,,,Elite Board & Train - 4 Weeks,"Four-week residential dog training with a certified trainer - 3 daily sessions, daily updates - $4,997."
